field1,Name,NewCode,code,Groupping,Sweetness,L,A,B,density,Fatty,Total_protein,Total_sugar,Total_phenol,Total_Flavonoid,Antioxidant,caffeic_acid,Caffeine,Chrogenic_acid,Trigonelline,Theobromine,K,Ca,Fe,Zn,Na,Mg,sucrose_maltose,fluctose_arabinise,Lactic_acid,Malic_acid,Propionic_acid,Quinic_acid,Apartic_acid,Serine,alanine,glycine,threonine,glutamic_acid,proline,lysine,histidine,arginine,valine,metheonine,tyrosine,isoleucine,leucine,phynylalanine,Tryptophan,adenosine
80,PD1,PD10001-1,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
81,PD1,PD10001-2,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
82,PD1,PD10001-3,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
83,PD1,PD10001-4,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
84,PD1,PD10001-5,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
85,PD1,PD10001-6,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
86,PD1,PD10001-7,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
87,PD1,PD10001-8,F14,4,15.3,57.59,2.03,13.95,0.69,569.8,746.81,80.91,2.99,21.57,14.41,0.02,2.23,6.53,1.4,0.0,9167.92,121.13,12.96,15.52,51.45,959.73,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,43.03,34.54,159.28,59.61,13.36,33.39,37.3,62.64,70.72,75.32,46.48
117,ML7001,ML7001-1,F21,5,15.0,56.02,0.7,15.48,0.69,323.8,607.55,55.04,1.99,14.03,13.04,0.02,0.99,6.31,1.49,0.01,9652.07,168.42,15.09,13.32,60.13,1224.59,28.14,0.0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,31.48,28.55,132.51,39.93,10.07,22.56,23.31,37.91,53.3,78.37,21.01
118,ML7001,ML7001-2,F21,5,15.0,56.02,0.7,15.48,0.69,323.8,607.55,55.04,1.99,14.03,13.04,0.02,0.99,6.31,1.49,0.01,9652.07,168.42,15.09,13.32,60.13,1224.59,28.14,0.0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,31.48,28.55,132.51,39.93,10.07,22.56,23.31,37.91,53.3,78.37,21.01
119,ML7001,ML7001-3,F21,5,15.0,56.02,0.7,15.48,0.69,323.8,607.55,55.04,1.99,14.03,13.04,0.02,0.99,6.31,1.49,0.01,9652.07,168.42,15.09,13.32,60.13,1224.59,28.14,0.0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,31.48,28.55,132.51,39.93,10.07,22.56,23.31,37.91,53.3,78.37,21.01
120,ML7001,ML7001-4,F21,5,15.0,56.02,0.7,15.48,0.69,323.8,607.55,55.04,1.99,14.03,13.04,0.02,0.99,6.31,1.49,0.01,9652.07,168.42,15.09,13.32,60.13,1224.59,28.14,0.0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,31.48,28.55,132.51,39.93,10.07,22.56,23.31,37.91,53.3,78.37,21.01
121,ML7001,ML7001-5,F21,5,15.0,56.02,0.7,15.48,0.69,323.8,607.55,55.04,1.99,14.03,13.04,0.02,0.99,6.31,1.49,0.01,9652.07,168.42,15.09,13.32,60.13,1224.59,28.14,0.0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,31.48,28.55,132.51,39.93,10.07,22.56,23.31,37.91,53.3,78.37,21.01
155,PT1,PT12001-1,F30,2,12.0,52.31,0.94,12.87,0.65,562.9,362.76,62.42,2.57,12.32,13.67,0.02,2.37,5.9,1.14,0.01,8998.73,178.4,17.35,30.23,69.28,1068.97,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,51.28,34.45,176.95,72.78,17.55,51.62,46.03,78.2,96.36,155.5,36.0
156,PT1,PT12001-2,F30,2,12.0,52.31,0.94,12.87,0.65,562.9,362.76,62.42,2.57,12.32,13.67,0.02,2.37,5.9,1.14,0.01,8998.73,178.4,17.35,30.23,69.28,1068.97,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,51.28,34.45,176.95,72.78,17.55,51.62,46.03,78.2,96.36,155.5,36.0
157,PT1,PT12001-3,F30,2,12.0,52.31,0.94,12.87,0.65,562.9,362.76,62.42,2.57,12.32,13.67,0.02,2.37,5.9,1.14,0.01,8998.73,178.4,17.35,30.23,69.28,1068.97,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,51.28,34.45,176.95,72.78,17.55,51.62,46.03,78.2,96.36,155.5,36.0
158,PT1,PT12001-4,F30,2,12.0,52.31,0.94,12.87,0.65,562.9,362.76,62.42,2.57,12.32,13.67,0.02,2.37,5.9,1.14,0.01,8998.73,178.4,17.35,30.23,69.28,1068.97,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,51.28,34.45,176.95,72.78,17.55,51.62,46.03,78.2,96.36,155.5,36.0
159,PT1,PT12001-5,F30,2,12.0,52.31,0.94,12.87,0.65,562.9,362.76,62.42,2.57,12.32,13.67,0.02,2.37,5.9,1.14,0.01,8998.73,178.4,17.35,30.23,69.28,1068.97,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,51.28,34.45,176.95,72.78,17.55,51.62,46.03,78.2,96.36,155.5,36.0
160,PT1,PT12001-6,F30,2,12.0,52.31,0.94,12.87,0.65,562.9,362.76,62.42,2.57,12.32,13.67,0.02,2.37,5.9,1.14,0.01,8998.73,178.4,17.35,30.23,69.28,1068.97,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,51.28,34.45,176.95,72.78,17.55,51.62,46.03,78.2,96.36,155.5,36.0
161,PT1,PT12001-7,F30,2,12.0,52.31,0.94,12.87,0.65,562.9,362.76,62.42,2.57,12.32,13.67,0.02,2.37,5.9,1.14,0.01,8998.73,178.4,17.35,30.23,69.28,1068.97,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,51.28,34.45,176.95,72.78,17.55,51.62,46.03,78.2,96.36,155.5,36.0
192,PTT1,PTT12001-1,F39,3,12.7,50.26,1.41,12.07,0.69,498.9,387.54,77.34,2.61,12.55,12.91,0.02,1.9,5.45,1.2,0.01,11637.52,220.33,16.28,9.85,30.91,1576.27,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138.0,408.04,34.87,45.74,218.46,74.41,61.25,42.25,240.09,80.67,17.84,55.95,51.86,87.8,121.76,263.17,41.9
193,PTT1,PTT12001-2,F39,3,12.7,50.26,1.41,12.07,0.69,498.9,387.54,77.34,2.61,12.55,12.91,0.02,1.9,5.45,1.2,0.01,11637.52,220.33,16.28,9.85,30.91,1576.27,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138.0,408.04,34.87,45.74,218.46,74.41,61.25,42.25,240.09,80.67,17.84,55.95,51.86,87.8,121.76,263.17,41.9
194,PTT1,PTT12001-3,F39,3,12.7,50.26,1.41,12.07,0.69,498.9,387.54,77.34,2.61,12.55,12.91,0.02,1.9,5.45,1.2,0.01,11637.52,220.33,16.28,9.85,30.91,1576.27,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138.0,408.04,34.87,45.74,218.46,74.41,61.25,42.25,240.09,80.67,17.84,55.95,51.86,87.8,121.76,263.17,41.9
195,PTT1,PTT12001-4,F39,3,12.7,50.26,1.41,12.07,0.69,498.9,387.54,77.34,2.61,12.55,12.91,0.02,1.9,5.45,1.2,0.01,11637.52,220.33,16.28,9.85,30.91,1576.27,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138.0,408.04,34.87,45.74,218.46,74.41,61.25,42.25,240.09,80.67,17.84,55.95,51.86,87.8,121.76,263.17,41.9
196,PTT1,PTT12001-5,F39,3,12.7,50.26,1.41,12.07,0.69,498.9,387.54,77.34,2.61,12.55,12.91,0.02,1.9,5.45,1.2,0.01,11637.52,220.33,16.28,9.85,30.91,1576.27,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138.0,408.04,34.87,45.74,218.46,74.41,61.25,42.25,240.09,80.67,17.84,55.95,51.86,87.8,121.76,263.17,41.9
202,PTT3,PTT12003-1,F41,3,16.3,49.03,1.43,13.84,0.68,522.5,406.71,88.04,2.59,12.43,12.11,0.02,2.02,5.6,1.31,0.01,11290.96,207.56,23.01,15.45,35.81,2090.75,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,66.09,44.71,272.16,98.63,20.39,65.13,62.31,106.84,111.52,327.67,32.23
203,PTT3,PTT12003-2,F41,3,16.3,49.03,1.43,13.84,0.68,522.5,406.71,88.04,2.59,12.43,12.11,0.02,2.02,5.6,1.31,0.01,11290.96,207.56,23.01,15.45,35.81,2090.75,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,66.09,44.71,272.16,98.63,20.39,65.13,62.31,106.84,111.52,327.67,32.23
204,PTT3,PTT12003-3,F41,3,16.3,49.03,1.43,13.84,0.68,522.5,406.71,88.04,2.59,12.43,12.11,0.02,2.02,5.6,1.31,0.01,11290.96,207.56,23.01,15.45,35.81,2090.75,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,66.09,44.71,272.16,98.63,20.39,65.13,62.31,106.84,111.52,327.67,32.23
205,PTT3,PTT12003-4,F41,3,16.3,49.03,1.43,13.84,0.68,522.5,406.71,88.04,2.59,12.43,12.11,0.02,2.02,5.6,1.31,0.01,11290.96,207.56,23.01,15.45,35.81,2090.75,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,66.09,44.71,272.16,98.63,20.39,65.13,62.31,106.84,111.52,327.67,32.23
206,PTT3,PTT12003-5,F41,3,16.3,49.03,1.43,13.84,0.68,522.5,406.71,88.04,2.59,12.43,12.11,0.02,2.02,5.6,1.31,0.01,11290.96,207.56,23.01,15.45,35.81,2090.75,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,66.09,44.71,272.16,98.63,20.39,65.13,62.31,106.84,111.52,327.67,32.23
220,BK1,BK-10001-1,F48,6,15.0,49.48,1.25,11.67,0.68,182.6,42.94,30.38,0.94,4.14,11.72,0.02,2.62,5.32,1.17,0.01,8322.9,121.85,10.84,8.88,16.49,773.86,32.1,0.37,0.14,1.91,0.03,4.28,254.84,185.4,417.97,25.97,44.1,457.11,63.88,54.16,37.02,381.68,71.67,13.42,40.63,45.78,74.05,152.09,312.51,72.94
221,BK1,BK-10001-2,F48,6,15.0,49.48,1.25,11.67,0.68,182.6,42.94,30.38,0.94,4.14,11.72,0.02,2.62,5.32,1.17,0.01,8322.9,121.85,10.84,8.88,16.49,773.86,32.1,0.37,0.14,1.91,0.03,4.28,254.84,185.4,417.97,25.97,44.1,457.11,63.88,54.16,37.02,381.68,71.67,13.42,40.63,45.78,74.05,152.09,312.51,72.94
222,BK1,BK-10001-3,F48,6,15.0,49.48,1.25,11.67,0.68,182.6,42.94,30.38,0.94,4.14,11.72,0.02,2.62,5.32,1.17,0.01,8322.9,121.85,10.84,8.88,16.49,773.86,32.1,0.37,0.14,1.91,0.03,4.28,254.84,185.4,417.97,25.97,44.1,457.11,63.88,54.16,37.02,381.68,71.67,13.42,40.63,45.78,74.05,152.09,312.51,72.94
225,BK3,BK-10003-1,F50,6,17.0,52.42,0.81,12.4,0.68,238.7,406.03,34.28,1.99,9.39,14.73,0.0,0.97,4.85,1.35,0.01,11837.77,179.04,15.56,10.14,31.81,1375.49,32.14,0.0,0.14,1.6,0.01,2.52,251.92,187.75,396.23,36.27,45.11,317.6,67.28,49.06,52.47,295.35,72.7,13.85,42.27,46.86,68.86,139.61,329.48,50.2
226,BK3,BK-10003-2,F50,6,17.0,52.42,0.81,12.4,0.68,238.7,406.03,34.28,1.99,9.39,14.73,0.0,0.97,4.85,1.35,0.01,11837.77,179.04,15.56,10.14,31.81,1375.49,32.14,0.0,0.14,1.6,0.01,2.52,251.92,187.75,396.23,36.27,45.11,317.6,67.28,49.06,52.47,295.35,72.7,13.85,42.27,46.86,68.86,139.61,329.48,50.2
227,BK3,BK-10003-3,F50,6,17.0,52.42,0.81,12.4,0.68,238.7,406.03,34.28,1.99,9.39,14.73,0.0,0.97,4.85,1.35,0.01,11837.77,179.04,15.56,10.14,31.81,1375.49,32.14,0.0,0.14,1.6,0.01,2.52,251.92,187.75,396.23,36.27,45.11,317.6,67.28,49.06,52.47,295.35,72.7,13.85,42.27,46.86,68.86,139.61,329.48,50.2
